#quantity: log10[(L/M*)/erg/s/Msun]
#line: SII6731-SII6716
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 47485 31.33 31.69 31.97
8.30 31348 31.45 31.75 32.00
8.50 20316 31.55 31.80 32.02
8.70 12322 31.62 31.83 32.03
8.90 7148 31.67 31.86 32.04
9.10 3907 31.69 31.85 32.01
9.30 2051 31.67 31.82 31.98
9.50 1003 31.60 31.75 31.91
9.70 428 31.47 31.63 31.81
9.90 216 31.31 31.48 31.71
10.10 81 31.18 31.37 31.57
10.30 33 30.93 31.05 31.26
