#quantity: log10[(L/M*)/erg/s/Msun]
#line: SII6731-SII6716
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 1097 31.69 32.00 32.23
8.30 594 31.78 32.04 32.25
8.50 272 31.85 32.08 32.28
8.70 117 31.92 32.12 32.28
8.90 65 31.99 32.15 32.26
9.10 19 31.93 32.09 32.28
