#quantity: log10[(L/M*)/erg/s/Msun]
#line: SII6731-SII6716
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 15827 31.46 31.79 32.07
8.30 9746 31.59 31.86 32.10
8.50 5791 31.68 31.91 32.13
8.70 3269 31.73 31.94 32.14
8.90 1646 31.79 31.96 32.15
9.10 851 31.79 31.95 32.11
9.30 352 31.73 31.91 32.06
9.50 162 31.67 31.84 31.98
9.70 79 31.48 31.66 31.88
9.90 25 31.29 31.49 31.68
