#quantity: log10(L^line/L^FUV)
#line: OII3726-OII3729
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 24237 -3.13 -2.96 -2.80
43.60 32284 -3.03 -2.88 -2.74
43.80 27929 -2.94 -2.80 -2.67
44.00 17473 -2.86 -2.71 -2.57
44.20 7842 -2.77 -2.62 -2.49
44.40 2495 -2.71 -2.58 -2.46
44.60 520 -2.67 -2.56 -2.47
44.80 88 -2.63 -2.55 -2.47
