#quantity: log10(L^line/L^FUV)
#line: OII3726-OII3729
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 194 -3.12 -2.97 -2.81
43.60 536 -3.02 -2.88 -2.74
43.80 712 -2.93 -2.82 -2.69
44.00 445 -2.86 -2.75 -2.63
44.20 196 -2.84 -2.67 -2.52
44.40 55 -2.73 -2.63 -2.49
