#quantity: log10(L^line/L^FUV)
#line: OII3726-OII3729
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 1119 -3.14 -2.99 -2.82
43.60 2641 -3.04 -2.90 -2.76
43.80 2955 -2.97 -2.84 -2.71
44.00 1889 -2.89 -2.76 -2.63
44.20 762 -2.82 -2.68 -2.54
44.40 201 -2.77 -2.63 -2.51
44.60 39 -2.72 -2.62 -2.53
