#quantity: log10(EW/Angstrom)
#line: OII3726-OII3729
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 15827 0.98 1.19 1.36
8.30 9746 1.09 1.26 1.39
8.50 5791 1.18 1.32 1.43
8.70 3269 1.25 1.37 1.47
8.90 1646 1.32 1.42 1.50
9.10 851 1.37 1.45 1.51
9.30 352 1.39 1.47 1.53
9.50 162 1.40 1.47 1.53
9.70 79 1.35 1.43 1.52
9.90 25 1.33 1.42 1.50
