#quantity: log10(EW/Angstrom)
#line: OII3726-OII3729
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 4599 1.03 1.22 1.37
8.30 2525 1.12 1.27 1.40
8.50 1406 1.19 1.32 1.43
8.70 752 1.28 1.37 1.46
8.90 334 1.32 1.41 1.49
9.10 144 1.36 1.44 1.50
9.30 69 1.39 1.45 1.52
9.50 22 1.41 1.45 1.49
