#quantity: log10(EW/Angstrom)
#line: HI1216
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 4599 2.31 2.43 2.51
8.30 2525 2.33 2.42 2.49
8.50 1406 2.33 2.42 2.48
8.70 752 2.35 2.41 2.47
8.90 334 2.34 2.40 2.45
9.10 144 2.34 2.41 2.45
9.30 69 2.36 2.40 2.45
9.50 22 2.34 2.40 2.46
