#quantity: log10(EW/Angstrom)
#line: HI4340
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 1097 1.64 1.81 1.92
8.30 594 1.68 1.81 1.92
8.50 272 1.68 1.82 1.92
8.70 117 1.71 1.82 1.89
8.90 65 1.75 1.82 1.89
9.10 19 1.73 1.78 1.93
