#quantity: log10(EW/Angstrom)
#line: HI6563
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 1097 2.83 3.00 3.11
8.30 594 2.85 2.99 3.10
8.50 272 2.86 2.99 3.09
8.70 117 2.88 2.99 3.07
8.90 65 2.92 2.99 3.06
9.10 19 2.89 2.94 3.10
