#quantity: log10(L^line/L^FUV)
#line: CIII1909-CIII1907
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 6373 -2.72 -2.54 -2.38
43.60 10074 -2.59 -2.44 -2.32
43.80 9326 -2.50 -2.38 -2.28
44.00 6001 -2.44 -2.35 -2.27
44.20 2632 -2.41 -2.32 -2.25
44.40 776 -2.40 -2.31 -2.24
44.60 157 -2.38 -2.32 -2.27
44.80 15 -2.57 -2.36 -2.25
