#quantity: log10(L^line/L^FUV)
#line: CIII1909-CIII1907
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 24237 -2.73 -2.52 -2.37
43.60 32284 -2.59 -2.44 -2.33
43.80 27929 -2.51 -2.40 -2.31
44.00 17473 -2.46 -2.37 -2.30
44.20 7842 -2.44 -2.36 -2.29
44.40 2495 -2.43 -2.35 -2.29
44.60 520 -2.46 -2.36 -2.29
44.80 88 -2.45 -2.37 -2.29
