#quantity: log10(EW/Angstrom)
#line: OII3726-OII3729
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 6373 0.95 1.12 1.29
43.60 10074 1.08 1.23 1.37
43.80 9326 1.17 1.30 1.42
44.00 6001 1.25 1.36 1.46
44.20 2632 1.32 1.42 1.50
44.40 776 1.38 1.46 1.53
44.60 157 1.40 1.47 1.53
44.80 15 1.33 1.48 1.56
