#quantity: log10(EW/Angstrom)
#line: OII3726-OII3729
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 1119 0.94 1.10 1.27
43.60 2641 1.06 1.21 1.36
43.80 2955 1.16 1.29 1.41
44.00 1889 1.24 1.35 1.45
44.20 762 1.31 1.41 1.49
44.40 201 1.34 1.42 1.50
44.60 39 1.39 1.44 1.49
