#quantity: log10(EW/Angstrom)
#line: OII3726-OII3729
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 194 0.95 1.12 1.28
43.60 536 1.08 1.23 1.38
43.80 712 1.19 1.30 1.43
44.00 445 1.28 1.37 1.47
44.20 196 1.32 1.42 1.52
44.40 55 1.38 1.44 1.53
