#quantity: log10(L^line/L^FUV)
#line: NeIII3967
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 6373 -3.68 -3.47 -3.29
43.60 10074 -3.53 -3.36 -3.22
43.80 9326 -3.43 -3.29 -3.17
44.00 6001 -3.34 -3.21 -3.10
44.20 2632 -3.26 -3.15 -3.04
44.40 776 -3.20 -3.10 -3.01
44.60 157 -3.18 -3.09 -3.02
44.80 15 -3.30 -3.11 -3.02
