#quantity: log10[(L/M*)/erg/s/Msun]
#line: HI6563
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 47485 33.25 33.62 33.91
8.30 31348 33.32 33.62 33.88
8.50 20316 33.35 33.61 33.84
8.70 12322 33.35 33.59 33.81
8.90 7148 33.35 33.55 33.76
9.10 3907 33.32 33.49 33.69
9.30 2051 33.25 33.42 33.62
9.50 1003 33.15 33.32 33.52
9.70 428 33.00 33.19 33.40
9.90 216 32.83 33.03 33.28
10.10 81 32.68 32.92 33.13
10.30 33 32.49 32.61 32.84
