#quantity: log10(EW/Angstrom)
#line: NeIII3869
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 24237 0.83 1.08 1.28
43.60 32284 1.01 1.20 1.36
43.80 27929 1.13 1.27 1.40
44.00 17473 1.20 1.32 1.42
44.20 7842 1.25 1.35 1.44
44.40 2495 1.28 1.38 1.46
44.60 520 1.27 1.38 1.45
44.80 88 1.26 1.38 1.47
