#quantity: log10(EW/Angstrom)
#line: NeIII3869
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 194 0.83 1.05 1.27
43.60 536 1.01 1.22 1.38
43.80 712 1.18 1.33 1.46
44.00 445 1.28 1.39 1.50
44.20 196 1.33 1.43 1.52
44.40 55 1.37 1.45 1.52
