#quantity: log10(EW/Angstrom)
#line: NeIII3967
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 15827 0.52 0.80 0.99
8.30 9746 0.64 0.86 1.01
8.50 5791 0.73 0.90 1.03
8.70 3269 0.79 0.93 1.05
8.90 1646 0.84 0.96 1.06
9.10 851 0.86 0.96 1.05
9.30 352 0.85 0.96 1.05
9.50 162 0.86 0.95 1.03
9.70 79 0.78 0.89 1.00
9.90 25 0.70 0.85 0.97
