#quantity: log10(EW/Angstrom)
#line: CIII1909-CIII1907
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 1119 0.63 0.83 1.00
43.60 2641 0.80 0.96 1.09
43.80 2955 0.90 1.03 1.13
44.00 1889 0.95 1.06 1.14
44.20 762 0.98 1.06 1.15
44.40 201 0.98 1.06 1.13
44.60 39 1.00 1.07 1.14
