#quantity: log10(EW/Angstrom)
#line: CIII1909-CIII1907
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 24237 0.69 0.90 1.05
43.60 32284 0.83 0.98 1.10
43.80 27929 0.90 1.02 1.12
44.00 17473 0.94 1.03 1.12
44.20 7842 0.95 1.04 1.12
44.40 2495 0.96 1.05 1.12
44.60 520 0.94 1.04 1.11
44.80 88 0.92 1.03 1.11
