#quantity: log10(EW/Angstrom)
#line: CIII1909-CIII1907
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 194 0.67 0.86 1.01
43.60 536 0.81 0.98 1.09
43.80 712 0.94 1.06 1.15
44.00 445 1.00 1.08 1.17
44.20 196 1.03 1.09 1.18
44.40 55 1.03 1.11 1.16
