#quantity: log10(EW/Angstrom)
#line: CIII1909-CIII1907
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 6373 0.70 0.89 1.05
43.60 10074 0.84 0.99 1.11
43.80 9326 0.92 1.04 1.14
44.00 6001 0.97 1.07 1.16
44.20 2632 0.99 1.08 1.16
44.40 776 1.00 1.09 1.17
44.60 157 1.01 1.08 1.15
44.80 15 0.82 1.03 1.17
