#quantity: log10(EW/Angstrom)
#line: CIII1909-CIII1907
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 28 0.63 0.83 0.99
43.60 87 0.85 0.98 1.08
43.80 171 0.95 1.06 1.13
44.00 115 1.02 1.10 1.19
44.20 43 1.05 1.12 1.18
