#quantity: log10(L^line/L^FUV)
#line: NII6583
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 1119 -4.24 -4.07 -3.89
43.60 2641 -4.14 -3.98 -3.82
43.80 2955 -4.07 -3.92 -3.76
44.00 1889 -3.99 -3.82 -3.64
44.20 762 -3.90 -3.72 -3.48
44.40 201 -3.83 -3.65 -3.39
44.60 39 -3.74 -3.57 -3.40
