#quantity: log10[(L/M*)/erg/s/Msun]
#line: CIII1909-CIII1907
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 47485 32.45 32.87 33.19
8.30 31348 32.55 32.89 33.17
8.50 20316 32.59 32.87 33.13
8.70 12322 32.59 32.83 33.07
8.90 7148 32.54 32.76 32.99
9.10 3907 32.44 32.65 32.89
9.30 2051 32.30 32.52 32.77
9.50 1003 32.11 32.35 32.61
9.70 428 31.93 32.17 32.46
9.90 216 31.72 32.01 32.32
10.10 81 31.53 31.92 32.16
10.30 33 31.32 31.55 31.89
