#quantity: log10[(L/M*)/erg/s/Msun]
#line: CIII1909-CIII1907
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 1097 32.85 33.18 33.43
8.30 594 32.86 33.16 33.42
8.50 272 32.87 33.13 33.36
8.70 117 32.83 33.07 33.29
8.90 65 32.81 32.99 33.20
9.10 19 32.68 32.84 33.11
