#quantity: log10[(L/M*)/erg/s/Msun]
#line: CIII1909-CIII1907
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 4599 32.72 33.08 33.36
8.30 2525 32.78 33.08 33.32
8.50 1406 32.78 33.06 33.27
8.70 752 32.77 33.00 33.21
8.90 334 32.72 32.89 33.09
9.10 144 32.53 32.74 32.98
9.30 69 32.43 32.63 32.89
9.50 22 32.27 32.49 32.61
