#quantity: log10(EW/Angstrom)
#line: NII6583
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 194 0.39 0.56 0.73
43.60 536 0.52 0.68 0.84
43.80 712 0.65 0.77 0.90
44.00 445 0.73 0.85 0.96
44.20 196 0.78 0.92 1.04
44.40 55 0.87 0.96 1.05
