#quantity: log10(EW/Angstrom)
#line: NII6583
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 24237 0.34 0.53 0.71
43.60 32284 0.48 0.64 0.79
43.80 27929 0.59 0.72 0.85
44.00 17473 0.69 0.81 0.92
44.20 7842 0.78 0.89 0.99
44.40 2495 0.84 0.94 1.04
44.60 520 0.89 0.98 1.06
44.80 88 0.94 1.02 1.06
