#quantity: log10(EW/Angstrom)
#line: NII6583
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 1119 0.36 0.52 0.71
43.60 2641 0.50 0.66 0.81
43.80 2955 0.60 0.74 0.88
44.00 1889 0.69 0.82 0.94
44.20 762 0.78 0.89 1.01
44.40 201 0.82 0.94 1.03
44.60 39 0.89 0.97 1.04
