#quantity: log10(L^line/L^FUV)
#line: OIII5007
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 1119 -2.11 -1.89 -1.69
43.60 2641 -1.94 -1.75 -1.60
43.80 2955 -1.82 -1.67 -1.54
44.00 1889 -1.73 -1.59 -1.48
44.20 762 -1.65 -1.52 -1.39
44.40 201 -1.61 -1.48 -1.36
44.60 39 -1.54 -1.46 -1.37
