#quantity: log10(EW/Angstrom)
#line: NII6583
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 1097 0.51 0.71 0.86
8.30 594 0.62 0.78 0.90
8.50 272 0.71 0.84 0.96
8.70 117 0.83 0.92 1.02
8.90 65 0.91 1.00 1.07
9.10 19 0.94 1.03 1.09
