#quantity: log10(EW/Angstrom)
#line: NII6583
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 15827 0.39 0.62 0.80
8.30 9746 0.51 0.70 0.85
8.50 5791 0.61 0.77 0.90
8.70 3269 0.70 0.84 0.96
8.90 1646 0.79 0.91 1.01
9.10 851 0.87 0.96 1.04
9.30 352 0.92 1.01 1.08
9.50 162 0.97 1.05 1.11
9.70 79 0.98 1.06 1.11
9.90 25 0.98 1.06 1.11
