#quantity: log10(EW/Angstrom)
#line: NeIII3869
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 1097 1.04 1.29 1.45
8.30 594 1.13 1.32 1.46
8.50 272 1.18 1.36 1.48
8.70 117 1.28 1.39 1.48
8.90 65 1.34 1.42 1.49
9.10 19 1.31 1.38 1.50
