#quantity: log10(EW/Angstrom)
#line: NeIII3869
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 15827 0.90 1.20 1.41
8.30 9746 1.03 1.26 1.43
8.50 5791 1.11 1.30 1.44
8.70 3269 1.17 1.33 1.46
8.90 1646 1.23 1.36 1.47
9.10 851 1.25 1.36 1.46
9.30 352 1.24 1.36 1.45
9.50 162 1.25 1.34 1.44
9.70 79 1.16 1.28 1.40
9.90 25 1.07 1.24 1.37
