#quantity: log10[(L/M*)/erg/s/Msun]
#line: OIII4959
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 60 33.31 33.58 33.76
8.30 22 33.45 33.66 33.87
8.50 13 33.52 33.66 33.78
