#quantity: log10[(L/M*)/erg/s/Msun]
#line: OIII4959
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 246 33.19 33.55 33.79
8.30 128 33.21 33.49 33.67
8.50 52 33.27 33.48 33.74
8.70 18 33.37 33.49 33.71
8.90 11 33.42 33.57 33.63
