#quantity: log10[(L/M*)/erg/s/Msun]
#line: OIII4959
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 4599 32.94 33.31 33.59
8.30 2525 33.03 33.34 33.58
8.50 1406 33.07 33.36 33.57
8.70 752 33.13 33.36 33.56
8.90 334 33.17 33.33 33.51
9.10 144 33.08 33.24 33.46
9.30 69 33.01 33.17 33.42
9.50 22 32.91 33.04 33.21
