#quantity: log10[(L/M*)/erg/s/Msun]
#line: OIII4959
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 47485 32.65 33.09 33.41
8.30 31348 32.79 33.15 33.42
8.50 20316 32.88 33.17 33.42
8.70 12322 32.94 33.19 33.41
8.90 7148 32.97 33.18 33.39
9.10 3907 32.96 33.14 33.32
9.30 2051 32.88 33.06 33.26
9.50 1003 32.78 32.96 33.16
9.70 428 32.62 32.81 33.04
9.90 216 32.42 32.62 32.91
10.10 81 32.22 32.51 32.75
10.30 33 31.96 32.16 32.44
