#quantity: log10(EW/Angstrom)
#line: OIII4959
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 15827 1.80 2.11 2.32
8.30 9746 1.93 2.17 2.34
8.50 5791 2.02 2.21 2.36
8.70 3269 2.09 2.25 2.38
8.90 1646 2.15 2.29 2.40
9.10 851 2.18 2.29 2.40
9.30 352 2.18 2.30 2.39
9.50 162 2.19 2.29 2.38
9.70 79 2.11 2.23 2.35
9.90 25 2.03 2.19 2.32
