#quantity: log10(EW/Angstrom)
#line: OIII4959
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 1097 1.94 2.20 2.37
8.30 594 2.05 2.24 2.38
8.50 272 2.10 2.28 2.40
8.70 117 2.20 2.32 2.41
8.90 65 2.27 2.35 2.43
9.10 19 2.25 2.33 2.44
