#quantity: log10[(L/M*)/erg/s/Msun]
#line: OII3726-OII3729
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 47485 32.05 32.41 32.69
8.30 31348 32.17 32.47 32.71
8.50 20316 32.25 32.50 32.72
8.70 12322 32.31 32.52 32.72
8.90 7148 32.34 32.53 32.71
9.10 3907 32.33 32.49 32.66
9.30 2051 32.27 32.43 32.60
9.50 1003 32.16 32.33 32.51
9.70 428 32.01 32.19 32.38
9.90 216 31.83 32.01 32.27
10.10 81 31.65 31.92 32.14
10.30 33 31.45 31.60 31.85
