#quantity: log10[(L/M*)/erg/s/Msun]
#line: OII3726-OII3729
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 15827 32.18 32.51 32.78
8.30 9746 32.30 32.57 32.81
8.50 5791 32.38 32.61 32.82
8.70 3269 32.42 32.62 32.82
8.90 1646 32.45 32.63 32.81
9.10 851 32.42 32.58 32.75
9.30 352 32.30 32.49 32.68
9.50 162 32.21 32.40 32.57
9.70 79 31.98 32.18 32.44
9.90 25 31.82 32.00 32.23
