#quantity: log10[(L/M*)/erg/s/Msun]
#line: OII3726-OII3729
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 1097 32.41 32.72 32.95
8.30 594 32.48 32.75 32.96
8.50 272 32.56 32.78 32.97
8.70 117 32.61 32.80 32.96
8.90 65 32.63 32.81 32.91
9.10 19 32.56 32.72 32.89
