#quantity: log10(EW/Angstrom)
#line: OIII4959
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 194 1.74 1.95 2.17
43.60 536 1.92 2.13 2.30
43.80 712 2.10 2.25 2.38
44.00 445 2.20 2.32 2.42
44.20 196 2.26 2.36 2.46
44.40 55 2.30 2.38 2.45
