#quantity: log10(EW/Angstrom)
#line: OIII4959
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 6373 1.75 1.98 2.19
43.60 10074 1.94 2.13 2.30
43.80 9326 2.06 2.22 2.36
44.00 6001 2.15 2.28 2.40
44.20 2632 2.22 2.33 2.42
44.40 776 2.27 2.36 2.45
44.60 157 2.29 2.36 2.42
44.80 15 2.09 2.32 2.46
