#quantity: log10[(L/M*)/erg/s/Msun]
#line: HI4340
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 47485 32.48 32.84 33.13
8.30 31348 32.54 32.85 33.10
8.50 20316 32.57 32.83 33.07
8.70 12322 32.57 32.80 33.02
8.90 7148 32.55 32.75 32.96
9.10 3907 32.51 32.68 32.88
9.30 2051 32.41 32.59 32.80
9.50 1003 32.29 32.48 32.68
9.70 428 32.13 32.33 32.55
9.90 216 31.94 32.17 32.42
10.10 81 31.79 32.07 32.28
10.30 33 31.56 31.76 32.00
