#quantity: log10[(L/M*)/erg/s/Msun]
#line: HI4340
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 4599 32.73 33.05 33.29
8.30 2525 32.76 33.02 33.25
8.50 1406 32.76 33.01 33.22
8.70 752 32.77 32.97 33.17
8.90 334 32.75 32.92 33.07
9.10 144 32.64 32.79 32.99
9.30 69 32.57 32.73 32.94
9.50 22 32.43 32.61 32.75
