#quantity: log10[(L/M*)/erg/s/Msun]
#line: NeIII3967
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 15827 31.64 32.03 32.34
8.30 9746 31.76 32.09 32.36
8.50 5791 31.84 32.10 32.35
8.70 3269 31.87 32.10 32.33
8.90 1646 31.88 32.08 32.31
9.10 851 31.82 32.03 32.22
9.30 352 31.69 31.92 32.15
9.50 162 31.58 31.81 32.00
9.70 79 31.35 31.55 31.85
9.90 25 31.14 31.41 31.65
