#quantity: log10(EW/Angstrom)
#line: OIII5007
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 24237 2.23 2.48 2.69
43.60 32284 2.42 2.61 2.77
43.80 27929 2.54 2.69 2.82
44.00 17473 2.62 2.74 2.84
44.20 7842 2.68 2.78 2.87
44.40 2495 2.71 2.81 2.89
44.60 520 2.70 2.82 2.89
44.80 88 2.72 2.82 2.91
