#quantity: log10[(L/M*)/erg/s/Msun]
#line: HI4861
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 15827 32.92 33.25 33.54
8.30 9746 32.98 33.27 33.52
8.50 5791 33.01 33.25 33.49
8.70 3269 33.01 33.23 33.45
8.90 1646 33.00 33.19 33.41
9.10 851 32.94 33.13 33.31
9.30 352 32.81 33.03 33.25
9.50 162 32.71 32.93 33.11
9.70 79 32.52 32.71 32.97
9.90 25 32.32 32.52 32.75
