#quantity: log10[(L/M*)/erg/s/Msun]
#line: NII6583
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 1097 31.31 31.62 31.86
8.30 594 31.41 31.67 31.89
8.50 272 31.51 31.74 31.93
8.70 117 31.61 31.80 31.93
8.90 65 31.67 31.82 31.98
9.10 19 31.66 31.80 31.96
