#quantity: log10[(L/M*)/erg/s/Msun]
#line: NII6583
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 15827 31.09 31.41 31.69
8.30 9746 31.22 31.50 31.73
8.50 5791 31.32 31.56 31.77
8.70 3269 31.40 31.60 31.80
8.90 1646 31.47 31.65 31.82
9.10 851 31.50 31.65 31.79
9.30 352 31.47 31.63 31.76
9.50 162 31.42 31.58 31.73
9.70 79 31.28 31.45 31.61
9.90 25 31.11 31.28 31.47
