#quantity: log10[(L/M*)/erg/s/Msun]
#line: NII6583
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 47485 30.95 31.31 31.60
8.30 31348 31.09 31.39 31.63
8.50 20316 31.19 31.45 31.66
8.70 12322 31.28 31.50 31.69
8.90 7148 31.35 31.54 31.71
9.10 3907 31.40 31.55 31.70
9.30 2051 31.40 31.54 31.69
9.50 1003 31.36 31.51 31.64
9.70 428 31.26 31.41 31.57
9.90 216 31.12 31.28 31.49
10.10 81 31.02 31.18 31.38
10.30 33 30.80 30.93 31.12
