#quantity: log10(EW/Angstrom)
#line: HI4861
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 6373 1.92 2.08 2.21
43.60 10074 2.05 2.19 2.31
43.80 9326 2.12 2.25 2.36
44.00 6001 2.15 2.27 2.37
44.20 2632 2.18 2.28 2.37
44.40 776 2.20 2.29 2.38
44.60 157 2.21 2.27 2.35
44.80 15 2.09 2.24 2.37
