#quantity: log10(EW/Angstrom)
#line: HI4861
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 1119 1.89 2.04 2.18
43.60 2641 2.05 2.18 2.30
43.80 2955 2.13 2.25 2.36
44.00 1889 2.16 2.27 2.38
44.20 762 2.18 2.27 2.36
44.40 201 2.19 2.27 2.34
44.60 39 2.20 2.28 2.35
