#quantity: log10(L^line/L^FUV)
#line: HI6563
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 28 -1.94 -1.85 -1.74
43.60 87 -1.79 -1.71 -1.65
43.80 171 -1.74 -1.67 -1.60
44.00 115 -1.67 -1.61 -1.56
44.20 43 -1.62 -1.57 -1.50
