#quantity: log10(EW/Angstrom)
#line: SII6731-SII6716
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 15827 0.78 1.01 1.18
8.30 9746 0.89 1.07 1.22
8.50 5791 0.97 1.13 1.26
8.70 3269 1.04 1.18 1.29
8.90 1646 1.11 1.23 1.33
9.10 851 1.17 1.26 1.34
9.30 352 1.20 1.29 1.36
9.50 162 1.22 1.30 1.37
9.70 79 1.18 1.28 1.36
9.90 25 1.16 1.28 1.32
