#quantity: log10(L^line/L^FUV)
#line: OIII4959
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 28 -2.49 -2.31 -2.15
43.60 87 -2.33 -2.19 -2.04
43.80 171 -2.24 -2.12 -1.98
44.00 115 -2.15 -2.04 -1.95
44.20 43 -2.11 -1.98 -1.86
