#quantity: log10(L^line/L^FUV)
#line: OIII4959
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 24237 -2.53 -2.29 -2.11
43.60 32284 -2.37 -2.19 -2.05
43.80 27929 -2.26 -2.12 -1.99
44.00 17473 -2.16 -2.03 -1.91
44.20 7842 -2.08 -1.96 -1.84
44.40 2495 -2.04 -1.91 -1.81
44.60 520 -2.00 -1.90 -1.80
44.80 88 -1.99 -1.87 -1.80
