#quantity: log10(EW/Angstrom)
#line: HI6563
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.60 18 2.89 2.97 3.03
43.80 38 2.96 3.02 3.13
44.00 22 3.01 3.09 3.16
44.20 12 3.05 3.13 3.17
